ID,title,year,genre,rating
0,Dinosaur Planet,2003,Animation,7.7
0,Dinosaur Planet,2003,Documentary,7.7
0,Dinosaur Planet,2003,Family,7.7
1,Get Up and Dance!,1994,Family,8.1
2,8 Man,1992,Action,5.5
2,8 Man,1992,Sci-Fi,5.5
3,What the #$*! Do We (K)now!?,2004,Comedy,5.3
3,What the #$*! Do We (K)now!?,2004,Documentary,5.3
3,What the #$*! Do We (K)now!?,2004,Drama,5.3
3,What the #$*! Do We (K)now!?,2004,Fantasy,5.3
3,What the #$*! Do We (K)now!?,2004,Mystery,5.3
3,What the #$*! Do We (K)now!?,2004,Sci-Fi,5.3
4,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991,Comedy,4.5
4,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991,Horror,4.5
4,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991,Sci-Fi,4.5
5,Antarctica: The End of Earth - Iceberg,1999,Documentary,
5,Antarctica: The End of Earth - Iceberg,1999,Family,
6,Neil Diamond: Greatest Hits Live,1988,Documentary,8
6,Neil Diamond: Greatest Hits Live,1988,Music,8
7,7 Seconds,2005,Action,4.8
7,7 Seconds,2005,Comedy,4.8
7,7 Seconds,2005,Crime,4.8
7,7 Seconds,2005,Thriller,4.8
8,By Dawn's Early Light,1990,Action,7.1
8,By Dawn's Early Light,1990,Drama,7.1
8,By Dawn's Early Light,1990,Thriller,7.1
9,Seeta Aur Geeta,1972,Adventure,6.8
9,Seeta Aur Geeta,1972,Comedy,6.8
9,Seeta Aur Geeta,1972,Drama,6.8
9,Seeta Aur Geeta,1972,Family,6.8
9,Seeta Aur Geeta,1972,Musical,6.8
9,Seeta Aur Geeta,1972,Romance,6.8
10,Strange Relations,2001,Comedy,7.6
10,Strange Relations,2001,Drama,7.6
11,Sesame Street Presents: The Street We Live On,2004,Adventure,7.2
11,Sesame Street Presents: The Street We Live On,2004,Animation,7.2
11,Sesame Street Presents: The Street We Live On,2004,Comedy,7.2
11,Sesame Street Presents: The Street We Live On,2004,Family,7.2
11,Sesame Street Presents: The Street We Live On,2004,Fantasy,7.2
11,Sesame Street Presents: The Street We Live On,2004,Music,7.2
12,Boycott,2001,Drama,7.2
12,Boycott,2001,History,7.2
13,Meat Loaf: Bat Out of Hell,1999,Documentary,7.7
13,Meat Loaf: Bat Out of Hell,1999,Music,7.7
15,FernGully 2: The Magical Rescue,1998,Adventure,4.6
15,FernGully 2: The Magical Rescue,1998,Animation,4.6
15,FernGully 2: The Magical Rescue,1998,Family,4.6
15,FernGully 2: The Magical Rescue,1998,Fantasy,4.6
16,Lady Chatterley,1993,Drama,6.9
16,Lady Chatterley,1993,Romance,6.9
17,Zatoichi's Conspiracy,1973,Action,7.1
17,Zatoichi's Conspiracy,1973,Drama,7.1
18,Daydream Obsession,2003,Romance,2.8
19,Love Reinvented,1996,Comedy,5.3
19,Love Reinvented,1996,Drama,5.3
20,TerrorVision,1986,Comedy,5.7
20,TerrorVision,1986,Horror,5.7
20,TerrorVision,1986,Sci-Fi,5.7
21,The Spitfire Grill,1996,Drama,7
22,The Complete Truth About De-Evolution,1993,Comedy,8.3
22,The Complete Truth About De-Evolution,1993,Documentary,8.3
22,The Complete Truth About De-Evolution,1993,Music,8.3
22,The Complete Truth About De-Evolution,1993,Sci-Fi,8.3
23,The Weather Underground,2002,Documentary,7.5
23,The Weather Underground,2002,History,7.5
23,The Weather Underground,2002,War,7.5
24,The Bonesetter,2003,Horror,1.6
24,The Bonesetter,2003,Thriller,1.6
25,Carandiru,2003,Crime,7.6
25,Carandiru,2003,Drama,7.6
26,DragonHeart,1996,Action,6.5
26,DragonHeart,1996,Adventure,6.5
26,DragonHeart,1996,Fantasy,6.5
27,Sex and the Beauties,2004,Comedy,4.8
